,1
20,0
1,226970
1,214164
1,592642
1,1213137
1,1070768
1,1451316
1,1730416
1,2104938
1,2357271
1,1303396
1,1387734
1,1490280
1,1807215
1,1389222
1,1564066
1,1307209
1,1451505
1,1707984
1,1500536
1,1412999
1,554434
1,759605
1,715813
1,989350
1,1331253
1,2687736
1,3104428
1,1613400
1,1723679
1,2151266
1,1822064
1,896542
1,1525689
1,1337018
1,1022723
1,1303907
1,590991
1,460877
1,401803
1,313879
1,243130
1,159781
1,261092
1,617780
1,357730
1,622106
1,587375
1,856315
1,813907
1,555481
1,708891
1,430552
1,273026
1,285530
1,191043
1,188043
2,204928
1,43272
1,23453
